Time,Numerical solution,Exact solution,Error
0.0,1.0,1.0,0.0
0.1,0.8,0.8187307530779818,0.018730753077981777
0.2,0.64,0.6703200460356393,0.030320046035639314
0.30000000000000004,0.512,0.5488116360940264,0.03681163609402638
0.4,0.4096,0.44932896411722156,0.039728964117221544
0.5,0.32768,0.36787944117144233,0.04019944117144231
0.6,0.26214400000000004,0.30119421191220214,0.03905021191220209
0.7,0.20971520000000005,0.2465969639416065,0.036881763941606444
0.7999999999999999,0.16777216,0.20189651799465544,0.034124357994655435
0.8999999999999999,0.134217728,0.16529888822158656,0.03108116022158655
0.9999999999999999,0.10737418239999999,0.13533528323661273,0.02796110083661274
1.0999999999999999,0.08589934592,0.11080315836233391,0.024903812442333917
1.2,0.06871947673599997,0.09071795328941251,0.02199847655341254
1.3,0.054975581388799946,0.07427357821433388,0.01929799682553393
1.4000000000000001,0.043980465111039965,0.06081006262521795,0.016829597514177987
1.5000000000000002,0.03518437208883198,0.049787068367863924,0.014602696279031942
1.6000000000000003,0.028147497671065537,0.04076220397836619,0.012614706307300654
1.7000000000000004,0.022517998136852346,0.03337326996032605,0.010855271823473706
1.8000000000000005,0.018014398509481895,0.027323722447292535,0.00930932393781064
1.9000000000000006,0.014411518807585396,0.02237077185616557,0.007959253048580174
2.0000000000000004,0.011529215046068325,0.018315638888734165,0.00678642384266584
2.1000000000000005,0.009223372036854555,0.014995576820477691,0.005772204783623136
2.2000000000000006,0.007378697629483421,0.012277339903068426,0.004898642273585004
2.3000000000000007,0.005902958103586831,0.010051835744633567,0.004148877641046736
2.400000000000001,0.004722366482869221,0.008229747049020016,0.0035073805661507956
2.500000000000001,0.003777893186295201,0.006737946999085455,0.0029600538127902538
