Time,Numerical solution,Exact solution,Error
0.0,1.0,1.0,0.0
0.1,0.990000000104102,0.99498743710662,0.004987437002517914
0.2,0.9697959203915705,0.9797958971132712,0.00999997672170072
0.30000000000000004,0.9388449994561172,0.9539392014169457,0.015094201960828446
0.4,0.896170223882962,0.916515138991168,0.02034491510820602
0.5,0.840159567328642,0.8660254037844386,0.025865836455796543
0.6,0.7681459009940542,0.8,0.031854099005945824
0.7,0.6754386180907237,0.714142842854285,0.03870422476356128
0.7999999999999999,0.552631775623761,0.6000000000000001,0.04736822437623911
0.8999999999999999,0.3749999666241347,0.43588989435406755,0.06088992772993285
