method,max_solution_error,max_ellipse_residual
SE,2.5790480862042386e-13,3.7347902548390266e-13
SE5,2.5790480862042386e-13,3.7347902548390266e-13
CN,3.2378623440317000e-01,4.9251189275777185e-01
