method,max_solution_error,max_ellipse_residual
SE,3.2018832030189515e-13,3.8824499171141724e-13
SE5,1.1160574190980765e-01,9.2707012370451203e-02
CN,1.0970009467330752e+00,1.3497989636997536e+00
